Date,Open,trueTomorrow,predictedTomorrow,predictedAction,predicted,residual,stock
2020-01-22,1.110000014,1.110000014,1.097151719,sell,1.092375757,-0.017624258,ford
2020-01-23,1.110000014,1.129999995,1.09701418,sell,1.097151719,-0.012848295,ford
2020-01-24,1.129999995,1.100000024,1.109997578,sell,1.09701418,-0.032985815,ford
2020-01-27,1.100000024,1.080000043,1.09494112,sell,1.109997578,0.009997555,ford
2020-01-28,1.080000043,1.129999995,1.07738342,sell,1.09494112,0.014941077,ford
2020-01-29,1.129999995,1.110000014,1.1040214,sell,1.07738342,-0.052616575,ford
2020-01-30,1.110000014,1.090000033,1.099001466,sell,1.1040214,-0.005978615,ford
2020-01-31,1.090000033,1.100000024,1.084019854,sell,1.099001466,0.009001433,ford
2020-02-03,1.100000024,1.080000043,1.08635577,sell,1.084019854,-0.01598017,ford
2020-02-04,1.080000043,1.120000005,1.074616335,sell,1.08635577,0.006355727,ford
2020-02-05,1.120000005,1.120000005,1.095156099,sell,1.074616335,-0.045383669,ford
2020-02-06,1.120000005,1.139999986,1.101455038,sell,1.095156099,-0.024843906,ford
2020-02-07,1.139999986,1.129999995,1.116487008,sell,1.101455038,-0.038544948,ford
2020-02-10,1.129999995,1.139999986,1.115051083,sell,1.116487008,-0.013512987,ford
2020-02-11,1.139999986,1.139999986,1.12170357,sell,1.115051083,-0.024948902,ford
2020-02-12,1.139999986,1.120000005,1.125204357,sell,1.12170357,-0.018296416,ford
2020-02-13,1.120000005,1.129999995,1.113413838,sell,1.125204357,0.005204352,ford
2020-02-14,1.129999995,1.159999967,1.116289188,sell,1.113413838,-0.016586157,ford
2020-02-18,1.159999967,1.129999995,1.137082854,sell,1.116289188,-0.043710778,ford
2020-02-19,1.129999995,1.090000033,1.123010451,sell,1.137082854,0.007082858,ford
2020-02-20,1.090000033,1.080000043,1.092332662,buy,1.123010451,0.033010418,ford
2020-02-21,1.080000043,1.090000033,1.077155323,sell,1.092332662,0.01233262,ford
2020-02-24,1.090000033,1.059999943,1.077759939,sell,1.077155323,-0.01284471,ford
